Fulham West,,,,,,,,,,,,,,,
4/6/38,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,General election result 35,,53.4,43.3,3.3,,,,10.1,,,,,
,,,,,,,,,,,First by-election poll in Britain. Put Labour ahead and within 1% for both parties,,,,
,,By-election result,,47.8,52.2,,,,,-4.4,,,,,
,,,,,,,,,,,,,,,
Ipswich,,,,,,,,,,,,,,,
10/14/57,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,32.0,50.0,18.0,,,,-18.0,,,,,
,,By-election result,,32.7,45.9,21.4,,,,-13.2,,,,,
,,,,,,,,,,,,,,,
Rochdale,,,,,,,,,,,,,,,
2/12/58,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,21.0,47.0,32.0,,,,15.0,Lab/Lib,,,,
,,By-election result,,19.8,44.7,35.5,,,,9.2,Lab/Lib,,,,
,,,,,,,,,,,,,,,
Torrington,,,,,,,,,,,,,,,
3/27/58,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,32.0,25.0,43.0,,,,11.0,Lib/Con,,,,
NOP,,,,35.2,28.4,36.4,,,,1.2,Lib/Con,,,,
,,By-election result,,37.4,24.6,38.0,,,,0.6,Lib/Con,,,,
,,,,,,,,,,,,,,,
Weston-super-Mare,,,,,,,,,,,,,,,
6/12/58,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,44.0,28.0,28.0,,,,16.0,,,,,
,,By-election result,,49.3,26.2,24.5,,,,23.1,,,,,
,,,,,,,,,,,,,,,
Ealing South,,,,,,,,,,,,,,,
6/12/58,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,50.0,30.0,20.0,,,,20.0,,,,,
,,By-election result,,50.3,32.5,17.2,,,,17.8,,,,,
,,,,,,,,,,,,,,,
Southend West,,,,,,,,,,,,,,,
1/29/59,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,61.0,17.0,22.0,,,,44.0,,,,,
,,By-election result,,55.6,20.2,24.2,,,,35.4,,,,,
,,,,,,,,,,,,,,,
Harrow East,,,,,,,,,,,,,,,
3/19/59,,,,,,,,,,,,,,,
,,,,Con,Lab,,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,55.9,43.5,,,,,12.4,,,,,
,,By-election result,,52.8,46.2,,,,,6.6,,,,,
,,,,,,,,,,,,,,,
Bolton East,,,,,,,,,,,,,,,
11/16/60,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,44.0,30.0,26.0,,,,14.0,,,,,
,,By-election result,,37.8,36.2,24.8,,,,1.6,,,,,
,,,,,,,,,,,,,,,
Bristol South East,,,,,,,,,,,,,,,
5/4/61,,,,,,,,,,,,,,,
,,,,Con,Lab,,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,30.3,69.7,,,,,-39.4,,,,,
,,By-election result,,30.5,69.9,,,,,-39.4,,,,,
,,,,,,,,,,,,,,,
Lincoln,,,,,,,,,,,,,,,
3/8/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,32.4,52.3,14.9,,,,-19.9,,,,,
,,By-election result,,30.2,50.5,18.2,,,,-20.3,,,,,
,,,,,,,,,,,,,,,
Blackpool North,,,,,,,,,,,,,,,
3/13/62,,,,,,,,,,,,,,,
(Not a Thursday),,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,43.8,30.6,25.6,,,,13.2,,,,,
,,By-election result,,38.3,35.3,26.4,,,,3.0,,,,,
,,,,,,,,,,,,,,,
Orpington,,,,,,,,,,,,,,,
3/14/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,38.4,19.8,41.8,,,,3.4,Lib/Con,,,,
,,By-election result,,34.7,12.4,52.9,,,,18.2,Lib/Con,,,,
,,,,,,,,,,,,,,,
Stockon-on-Tees,,,,,,,,,,,,,,,
4/5/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,28.0,50.0,22.0,,,,-22.0,Lab/Con,,,,
NOP,,,,25.0,47.1,27.9,,,,19.2,Lab/Lib,,,,
,,By-election result,,27.8,45.2,27.0,,,,-17.4,Lab/Con,,,,
,,,,,,,,,,,,,,,
Derby North,,,,,,,,,,,,,,,
4/5/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,26.0,46.5,27.0,,,,19.5,Lab/Lib,,,,
,,By-election result,,22.5,49.4,25.4,,,,24.0,Lab/Lib,,,,
,,,,,,,,,,,,,,,
Montgomeryshire,,,,,,,,,,,,,,,
5/15/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,Plaid,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,25.2,20.9,52.1,1.8,,,26.9,Lib/Con,,,,
,,By-election result,,21.9,20.6,51.3,6.2,,,29.4,Lib/Con,,,,
,,,,,,,,,,,,,,,
West Derbyshire,,,,,,,,,,,,,,,
6/6/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,36.3,26.3,35.4,,,,0.9,Con/Lib,,,,
,,By-election result,,36.0,27.3,32.5,,,,3.5,,,,,
,,,,,,,,,,,,,,,
Middlesbrought West,,,,,,,,,,,,,,,
6/6/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,35.0,34.5,29.5,,,,0.5,,,,,
NOP,,,,31.9,42.1,25.6,,,,-10.2,,,,,
,,By-election result,,33.7,39.7,25.8,,,,-6.0,,,,,
,,,,,,,,,,,,,,,
Leicester North East,,,,,,,,,,,,,,,
7/12/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,24.7,44.2,31.1,,,,13.1,Lab/Lib,,,,
,,By-election result,,24.2,41.5,34.3,,,,7.2,Lab/Lib,,,,
,,,,,,,,,,,,,,,
Central Norfolk,,,,,,,,,,,,,,,
11/22/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,39.5,36.5,23.0,,,,3.0,,,,,
,,By-election result,,37.7,37.0,22.5,,,,0.7,,,,,
,,,,,,,,,,,,,,,
Chippenham,,,,,,,,,,,,,,,
11/22/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,38.5,27.0,32.0,,,,6.5,Con/Lib,,,,
NOP,,,,41.5,31.2,27.3,,,,10.3,,Figures calculated excluding independents,,,
,,By-election result,,36.8,29.1,32.5,,,,4.3,Con/Lib,,,,
,,,,,,,,,,,,,,,
South Northants,,,,,,,,,,,,,,,
11/22/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,38.5,38.0,23.0,,,,0.5,,,,,
NOP,,,,46.4,34.7,18.9,,,,11.7,,Figures calculated excluding independents,,,
,,By-election result,,41.2,38.6,19.3,,,,2.6,,,,,
,,,,,,,,,,,,,,,
South Dorset,,,,,,,,,,,,,,,
11/22/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,Anti-Common Market Ind,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,37,28.5,24.5,,,,8.5,,,,,
NOP,,,,37.5,29.4,21.8,11.3,,,8.1,,,,,
,,By-election result,,31.8,33.5,21.7,12.3,,,-1.7,,,,,
,,,,,,,,,,,,,,,
Glasgow Woodside,,,,,,,,,,,,,,,
11/22/62,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,SNP,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,29.5,46.5,17.0,,,,-17.0,,,,,
NOP,,,,28.6,48.3,16.3,8.8,,,-19.7,,Figures calculated excluding independents,,,
,,By-election result,,30.0,36.0,22.0,11.1,,,-6.0,,,,,
,,,,,,,,,,,,,,,
Colne Valley,,,,,,,,,,,,,,,
3/21/63,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,23.3,43.4,33.00,,,,10.4,Lab/Lib,,,,
,,By-election result,,15.4,44.5,39.5,,,,5.0,Lab/Lib,,,,
,,,,,,,,,,,,,,,
West Bromwich,,,,,,,,,,,,,,,
5/16/63,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,23.9,60.2,15.9,,,,-36.3,,,,,
,,By-election result,,23.6,58.7,17.7,,,,-35.1,,,,,
,,,,,,,,,,,,,,,
Deptford,,,,,,,,,,,,,,,
7/4/63,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,17.6,65.5,16.9,,,,-47.9,,,,,
,,By-election result,,19.2,58.2,22.6,,,,35.6,Lab/Lib,,,,
,,,,,,,,,,,,,,,
Stratford,,,,,,,,,,,,,,,
8/15/63,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,56,30,14.0,,,,26.0,,,,,
NOP,,,,47,34.6,18.0,,,,12.4,,,,,
,,By-election result,,43.6,34.0,21.0,,,,9.6,,,,,
,,,,,,,,,,,,,,,
Luton,,,,,,,,,,,,,,,
11/7/63,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,37,50.0,12.0,,,,-13.0,,,,,
NOP,,,,41.5,46.0,12.0,,,,-4.5,,,,,
,,By-election result,,39.5,48.0,11.4,,,,-8.5,,,,,
,,,,,,,,,,,,,,,
Kinross and West Perthshire,,,,,,,,,,,,,,,
11/7/63,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,SNP,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,53.2,22.3,16.4,7.6,,,30.9,,,,,
,,By-election result,,57.4,15.2,19.5,7.3,,,42.2,,,,,
,,,,,,,,,,,,,,,
Sudbury and Woodbridge,,,,,,,,,,,,,,,
12/5/63,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,47.7,37.5,14.8,,,,10.2,,,,,
,,By-election result,,49.6,37.0,13.4,,,,12.6,,,,,
,,,,,,,,,,,,,,,
Devizes,,,,,,,,,,,,,,,
5/14/64,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,44.7,45.3,10.0,,,,-0.6,,,,,
,,By-election result,,46.9,42.9,10.2,,,,4.0,,,,,
,,,,,,,,,,,,,,,
Bury St Edmunds,,,,,,,,,,,,,,,
5/14/64,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,47.9,46.4,5.7,,,,1.5,,,,,
,,By-election result,,49.0,43.5,7.5,,,,5.5,,,,,
,,,,,,,,,,,,,,,
Faversham,,,,,,,,,,,,,,,
5/14/64,,,,,,,,,,,,,,,
,,,,Con,Lab,,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,46.2,53.3,,,,,-7.1,,,,,
,,By-election result,,44.1,55.1,,,,,-11.0,,,,,
,,,,,,,,,,,,,,,
Leyton,,,,,,,,,,,,,,,
1/21/65,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,31.7,53.8,14.3,,,,-22.1,,,,,
,,By-election result,,42.9,42.4,13.9,,,,0.5,,,,,
,,,,,,,,,,,,,,,
Erith and Crayford,,,,,,,,,,,,,,,
11/11/65,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Marplan,,,,35.5,55.0,9.5,,,,-19.5,,,,,
,,By-election result,,37.4,55.4,7.2,,,,-18.0,,,,,
,,,,,,,,,,,,,,,
Hull North,,,,,,,,,,,,,,,
1/27/66,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,Rad Alliance,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,40.7,48.9,8.7,1.5,,,-8.2,,,,,
,,By-election result,,40.8,52.2,6.3,0.5,,,-11.4,,,,,
,,,,,,,,,,,,,,,
Nuneaton,,,,,,,,,,,,,,,
3/9/67,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,37.5,43.0,16.5,,,,-5.5,,,,,
Marplan,,,,34.0,48.0,17.0,,,,-14.0,,,,,
,,By-election result,,32.7,42.1,17.6,,,,-9.4,,,,,
,,,,,,,,,,,,,,,
Rhondda West,,,,,,,,,,,,,,,
3/9/67,,,,,,,,,,,,,,,
,,,,Con,Lab,,Plaid,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,3.5,51.5,,45.0,,,6.5,Lab/Plaid,,,,
,,By-election result,,4.3,49.0,,46.7,,,2.3,Lab/Plaid,,,,
,,,,,,,,,,,,,,,
Glasgow Pollock,,,,,,,,,,,,,,,
3/9/67,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,SNP,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,38.0,30.5,3.5,,,,7.5,,,,,
NOP,,,,33.6,33.7,2.3,29.9,,,-0.1,,,,,
,,By-election result,,37.0,31.1,1.9,28.2,,,5.9,,,,,
,,,,,,,,,,,,,,,
Brierley Hill,,,,,,,,,,,,,,,
4/29/67,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
NOP,,,,58.7,33.4,5.7,,,,25.3,,,,,
,,By-election result,,53.8,36.2,7.8,,,,17.6,,,,,
,,,,,,,,,,,,,,,
Cambridge,,,,,,,,,,,,,,,
9/21/67,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,56.0,34.0,10.0,,,,22.0,,,,,
Marplan,,,,55.0,35.0,8.0,,,,20.0,,,,,
NOP,,,,53.1,35.2,11.7,,,,17.9,,,,,
,,By-election result,,51.6,36.6,11.8,,,,15.0,,,,,
,,,,,,,,,,,,,,,
Manchester Gordon,,,,,,,,,,,,,,,
11/2/67,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,43.0,46.0,9.0,,,,-3.0,,,,,
NOP,,,,45.7,42.4,8.5,,,,3.3,,,,,
,,By-election result,,44.5,45.9,5.9,,,,-1.4,,,,,
,,,,,,,,,,,,,,,
Leicester South West,,,,,,,,,,,,,,,
11/2/67,,,,,,,,,,,,,,,
,,,,Con,Lab,Lib,,,,Lead,,,,,
,,,,,,,,,,,,,,,
Gallup,,,,50.0,38.0,12.0,,,,12.0,,,,,
